date,cum_vax_rate,rollout_month
16-Dec-2020,0.10141391,1
16-Jan-2021,0.10180016,2
14-Feb-2021,0.10536537,3
16-Mar-2021,0.11337557,4
15-Apr-2021,0.12701297,5
16-May-2021,0.14762793,6
15-Jun-2021,0.16840937,7
16-Jul-2021,0.19960777,8
16-Aug-2021,0.24107412,9
15-Sep-2021,0.31012522,10
16-Oct-2021,0.3614949,11
15-Nov-2021,0.4076016,12
16-Dec-2021,0.46793846,13
16-Jan-2022,0.50956627,14
14-Feb-2022,0.53981014,15
16-Mar-2022,0.56270775,16
15-Apr-2022,0.5782989,17
16-May-2022,0.5882101,18
15-Jun-2022,0.5970018,19
16-Jul-2022,0.6070324,20
16-Aug-2022,0.6145117,21
15-Sep-2022,0.61915085,22
16-Oct-2022,0.62445454,23
15-Nov-2022,0.62836414,24
16-Dec-2022,0.6331086,25
16-Jan-2023,0.63686043,26
14-Feb-2023,0.6397728,27
16-Mar-2023,0.6428546,28
15-Apr-2023,0.6453507,29
16-May-2023,0.64693985,30
15-Jun-2023,0.6486324,31
16-Jul-2023,0.64935036,32
16-Aug-2023,0.6498167,33
15-Sep-2023,0.6501724,34
16-Oct-2023,0.650474,35
15-Nov-2023,0.6506412,36
16-Dec-2023,0.6508889,37
16-Jan-2024,0.6509572,38
15-Feb-2024,0.65095764,39
16-Mar-2024,0.6509582,40
15-Apr-2024,0.6509593,41
16-May-2024,0.6509598,42
15-Jun-2024,0.6509598,43
16-Jul-2024,0.65095985,44
16-Aug-2024,0.65095985,45
